@relation oa-importance

@attribute class {general,important}
@attribute from_code string
@attribute from_agency string
@attribute name string
@attribute wenzhong numeric
@attribute wenhao numeric
@attribute date1 date yyyy-MM-dd
@attribute date2 date yyyy-MM-dd
@attribute to_1 string
@attribute to_2 string
@attribute date0_day date yyyy-MM-dd
@attribute date0_time date HH:mm

@data
general,中发[2018]32号,中办,中共中央国务院关于完善促进消费体制机制进一步激发居民消费潜力的若干意见,0,627,?,?,校长办公室,?,2018-09-27,15:43
general,中发[2018]34号,中办,中共中央国务院关于全面实施预算绩效管理的意见,0,628,?,?,财务处,?,2018-09-27,15:46
general,教社[2018]23号,教育部,中共教育部党组关于教育系统深入学习贯彻习近平总书记在北京大学师生座谈会上重要讲话精神的通知,0,301,?,?,组织部,?,2018-05-09,11:29
general,?,省发改委,关于国家发展改革委来陕调研“双一流”建设工作的通知,4,349,?,2018-05-11,学科规划与建设办公室,?,2018-05-09,12:58
general,教改函[2018]4号,教育部,教育部关于开展2018年度教育改革重点督查的通知,1,418,?,?,校长办公室,?,2018-05-08,10:51
general,陕办通报（2018）第17期,省委办公厅,胡和平刘国中同志在推进脱贫攻坚暨整改部署视频会议上的讲话,1,427,?,?,扶贫办,?,2018-05-08,17:36
general,?,中共西安市委,王永康书记致贺信,4,342,?,?,校团委,?,2018-05-08,17:48
general,陕办字[2018]42,省委,中共陕西省委办公厅关于印发《陕西省作协深化改革方案》的通知,0,299,?,?,党委办公室,?,2018-05-08,10:56
general,?,人机所,关于西部科技创新港科研用房的申请,3,83,2018-05-07,2018-05-07,实验室与资产管理处,?,2018-05-07,15:21
general,?,教育部,教育部人事司2018年工作要点,1,414,?,?,组织部,?,2018-05-07,14:46
general,?,省委,陕西工作交流第10期,0,298,2018-05-07,2018-05-07,校长办公室,?,2018-05-07,15:20


%1314
important,教党函〔2019〕9号,中共教育部党组,中共教育部党组关于成立教育部党的建设和全面从严治党工作领导小组的通知,0,69,?,?,组织部,纪委办公室,2019-01-25,18:02
general,?,陕西省教育厅办公室,关于做好2018年度高等学校创新调查和科研统计工作的通知,1,81,?,2019-03-31,校长办公室,?,2019-01-24,14:23
general,教社科厅函〔2019〕1号,教育部办公厅,教育部办公厅关于第八届高等学校科学研究优秀成果奖（人文社会科学）申报工作的通知,1,82,?,2019-03-29,社科处,?,2019-01-24,16:48
important,教人司〔2019〕19号,教育部人事司,教育部人事司关于认真学习贯彻《干部人事档案工作条例》的通知,1,83,?,2019-02-15,组织部,?,2019-01-24,16:55
general,陕教高办[2019]1号,陕西省委教育工委,关于印发《陕西高校实验室安全检查实施方案》的通知,0,62,?,2019-01-23,实验室与资产管理处,?,2019-01-23,10:25
general,陕发[2019]3号,陕西省委,中共陕西省委陕西省人民政府关于全面实施预算绩效管理的实施意见,0,65,?,?,财务处,?,2019-01-23,16:48
general,陕教扫黑[2019]2号,陕西教育系统扫黑除恶专项斗争领导小组,关于印发陕西教育系统涉黑涉恶线索管理移交办法的通知,0,63,?,?,保卫处,?,2019-01-23,10:31
general,?,陕西省保健委员会办公室,汪应洛同志病情报告,4,40,?,?,管理学院,离退处,2019-01-23,10:09
important,教人司[2019]13号,教育部人事司,关于做好2019年院士退休工作的通知,1,76,?,?,人力资源部,?,2019-01-22,10:06
general,?,陕西省委办公厅,陕办通报[2019]第2期（胡和平刘国中郑富芝同志在全省教育大会上的讲话）,2,16,?,?,党委办公室,?,2019-01-22,10:15
general,教思政司函〔2019〕6号,教育部思想政治工作司,教育部思想政治工作司关于公布第一批、第二批“高校原创文化精品推广行动计划”入选名单的通知,1,79,?,?,宣传部,?,2019-01-22,15:49
general,?,教育部新闻办、新闻中心,教育舆情周报（2019年1月14日至1月20日）,2,17,?,?,宣传部,网络信息中心,2019-01-22,16:25
general,信息业务通讯[2018]12号,陕西省委办公厅,2018年度信息采用情况,0,60,?,?,党委办公室,?,2019-01-22,16:41
general,教思政司函〔2019〕7号,教育部思想政治工作司,教育部思想政治工作司关于公布第一批、第二批“高校网络教育名师培育支持计划”入选名单的通知,1,78,?,?,人力资源部,?,2019-01-22,15:34
general,?,陕西省委办公厅,陕办通报[2019]第三期--胡和平同志在省军区党委第十三届四次全体（扩大）会议暨党管武装工作述职会议上的讲话,0,57,?,?,?,?,2019-01-21,16:37
general,?,国家自然科学基金委员会,关于请你单位调查徐峰论文涉嫌重复发表的函,4,38,?,2019-01-25,科研院,?,2019-01-21,16:57
general,陕教工组〔2019〕7号,陕西省委教育工委,中共陕西省委教育工委转发省委办公厅《关于认真学习贯彻〈中国共产党支部工作条例（试行）〉的通知》,0,58,?,?,组织部,?,2019-01-21,11:52
general,教发司[2019]7号,教育部发展规划司,教育部发展规划司关于同意“西迁精神纪念馆”更名为“交大西迁博物馆”的函,1,75,?,?,规划与基建管理中心,宣传部,2019-01-21,17:02
general,教思政司函〔2019〕5号,教育部思想政治工作司,教育部思想政治工作司关于举办高校意识形态工作研讨会暨2019年高校网络舆情工作机制培训会的通知,1,73,?,2019-01-21,宣传部,?,2019-01-18,15:19
general,教发司[2019]18号,教育部发展规划司,关于请提供开展消费扶贫有关情况的函,1,72,?,2019-01-28,扶贫办,?,2019-01-18,15:16
general,教高厅〔2019〕1号,教育部办公厅,教育部办公厅关于进一步加强高校教学实验室安全检查工作的通知,1,71,?,?,实验室与资产管理处,?,2019-01-18,12:35
